packet_id,timestamp,source ip,destination ip,protocol,source port,destination port,length
1,2026-03-30 10:00:01,192.168.1.2,8.8.8.8,TCP,52344,80,100
2,2026-03-30 10:00:02,192.168.1.2,8.8.8.8,TCP,52344,80,200
3,2026-03-30 10:00:03,192.168.1.2,8.8.8.8,TCP,52344,80,150

4,2026-03-30 10:00:04,192.168.1.3,8.8.8.8,UDP,60000,53,60
5,2026-03-30 10:00:05,192.168.1.3,8.8.8.8,UDP,60000,53,70

6,2026-03-30 10:00:06,192.168.1.2,142.250.180.14,TCP,52345,443,300
7,2026-03-30 10:00:07,192.168.1.2,142.250.180.14,TCP,52345,443,400

8,2026-03-30 10:00:08,192.168.1.4,192.168.1.1,ICMP,0,0,64
9,2026-03-30 10:00:09,192.168.1.4,192.168.1.1,ICMP,0,0,64

10,2026-03-30 10:00:10,192.168.1.5,93.184.216.34,TCP,51000,80,256
11,2026-03-30 10:00:11,192.168.1.5,93.184.216.34,TCP,51000,80,512
12,2026-03-30 10:00:12,192.168.1.5,93.184.216.34,TCP,51000,80,128
